State/UT,Expenditure,Schools_per_1000,Literacy_Rate
Andhra Pradesh,13660282.2,3.714,60.5
Arunachal Pradesh,15568577.5,3.676,58.9
Assam,5687365.8,10.940,73.8
Bihar,19557965.5,8.468,70.5
Chhattisgarh,9340819.5,10.964,73.5
Delhi,1718127.8,7.141,65.0
Goa,8491863.3,9.002,69.4
Gujarat,17020028.6,6.344,63.9
Haryana,14169604.0,13.968,80.8
Himachal Pradesh,14535266.7,3.660,62.1
Jharkhand,10472482.7,7.922,69.7
Karnataka,22403619.3,11.069,74.2
Kerala,13142605.5,12.333,75.9
Madhya Pradesh,9004667.3,3.834,59.0
Maharashtra,33733091.8,3.920,60.5
Manipur,14720530.8,10.166,74.0
Mizoram,14136965.1,9.157,71.5
Nagaland,7567079.7,4.373,67.7
Odisha,20936902.0,2.543,73.5
Punjab,12451037.4,7.617,67.7
Rajasthan,10691831.6,5.017,61.1
Sikkim,19842850.3,8.639,70.4
Tamil Nadu,27799995.2,13.309,79.2
Telangana,18354246.2,10.163,74.1
Tripura,15269213.8,3.375,60.0
Uttarakhand,17642778.8,12.617,75.1
Uttar Pradesh,30519998.2,11.011,74.4
West Bengal,19580961.4,11.223,75.9
Andaman and Nicobar Islands,1288902.2,6.082,62.9
Chandigarh,3839077.4,5.522,63.5
Jammu and Kashmir,3409667.9,3.898,60.9
Ladakh,2898845.6,2.039,59.0
Lakshadweep,9486187.4,10.665,74.6
Puducherry,8887308.6,10.636,73.9
